CurentGameTime: 5.953385576605797, LastFrame: 48617, CarlaTime: 3905.993709605187, PlatformTimestamp: 2023-12-16 13:17:27.488047, FrameCount: 40 
CurentGameTime: 5.953385576605797, LastFrame: 48617, CarlaTime: 3905.993709605187, PlatformTimestamp: 2023-12-16 13:17:27.488047, FrameCount: 41 
CurentGameTime: 5.953385576605797, LastFrame: 48617, CarlaTime: 3905.993709605187, PlatformTimestamp: 2023-12-16 13:17:27.488047, FrameCount: 42 
CurentGameTime: 5.953385576605797, LastFrame: 48617, CarlaTime: 3905.993709605187, PlatformTimestamp: 2023-12-16 13:17:27.488047, FrameCount: 43 
CurentGameTime: 5.953385576605797, LastFrame: 48617, CarlaTime: 3905.993709605187, PlatformTimestamp: 2023-12-16 13:17:27.488047, FrameCount: 44 
CurentGameTime: 5.953385576605797, LastFrame: 48617, CarlaTime: 3905.993709605187, PlatformTimestamp: 2023-12-16 13:17:27.488047, FrameCount: 45 
CurentGameTime: 5.953385576605797, LastFrame: 48617, CarlaTime: 3905.993709605187, PlatformTimestamp: 2023-12-16 13:17:27.488047, FrameCount: 46 
CurentGameTime: 5.953385576605797, LastFrame: 48617, CarlaTime: 3905.993709605187, PlatformTimestamp: 2023-12-16 13:17:27.488047, FrameCount: 47 
CurentGameTime: 5.953385576605797, LastFrame: 48617, CarlaTime: 3905.993709605187, PlatformTimestamp: 2023-12-16 13:17:27.488047, FrameCount: 48 
CurentGameTime: 5.953385576605797, LastFrame: 48617, CarlaTime: 3905.993709605187, PlatformTimestamp: 2023-12-16 13:17:27.488047, FrameCount: 49 
CurentGameTime: 6.140600472688675, LastFrame: 48618, CarlaTime: 3906.18092450127, PlatformTimestamp: 2023-12-16 13:17:27.673905, FrameCount: 50 
CurentGameTime: 6.140600472688675, LastFrame: 48618, CarlaTime: 3906.18092450127, PlatformTimestamp: 2023-12-16 13:17:27.673905, FrameCount: 51 
CurentGameTime: 6.140600472688675, LastFrame: 48618, CarlaTime: 3906.18092450127, PlatformTimestamp: 2023-12-16 13:17:27.673905, FrameCount: 52 
CurentGameTime: 6.140600472688675, LastFrame: 48618, CarlaTime: 3906.18092450127, PlatformTimestamp: 2023-12-16 13:17:27.673905, FrameCount: 53 
CurentGameTime: 6.140600472688675, LastFrame: 48618, CarlaTime: 3906.18092450127, PlatformTimestamp: 2023-12-16 13:17:27.673905, FrameCount: 54 
CurentGameTime: 6.140600472688675, LastFrame: 48618, CarlaTime: 3906.18092450127, PlatformTimestamp: 2023-12-16 13:17:27.673905, FrameCount: 55 
CurentGameTime: 6.140600472688675, LastFrame: 48618, CarlaTime: 3906.18092450127, PlatformTimestamp: 2023-12-16 13:17:27.673905, FrameCount: 56 
CurentGameTime: 6.140600472688675, LastFrame: 48618, CarlaTime: 3906.18092450127, PlatformTimestamp: 2023-12-16 13:17:27.673905, FrameCount: 57 
CurentGameTime: 6.140600472688675, LastFrame: 48618, CarlaTime: 3906.18092450127, PlatformTimestamp: 2023-12-16 13:17:27.673905, FrameCount: 58 
CurentGameTime: 6.140600472688675, LastFrame: 48618, CarlaTime: 3906.18092450127, PlatformTimestamp: 2023-12-16 13:17:27.673905, FrameCount: 59 
CurentGameTime: 6.140600472688675, LastFrame: 48618, CarlaTime: 3906.18092450127, PlatformTimestamp: 2023-12-16 13:17:27.673905, FrameCount: 60 
CurentGameTime: 6.328999370336533, LastFrame: 48619, CarlaTime: 3906.369323398918, PlatformTimestamp: 2023-12-16 13:17:27.862445, FrameCount: 61 
CurentGameTime: 6.328999370336533, LastFrame: 48619, CarlaTime: 3906.369323398918, PlatformTimestamp: 2023-12-16 13:17:27.862445, FrameCount: 62 
CurentGameTime: 6.328999370336533, LastFrame: 48619, CarlaTime: 3906.369323398918, PlatformTimestamp: 2023-12-16 13:17:27.862445, FrameCount: 63 
CurentGameTime: 6.328999370336533, LastFrame: 48619, CarlaTime: 3906.369323398918, PlatformTimestamp: 2023-12-16 13:17:27.862445, FrameCount: 64 
CurentGameTime: 6.328999370336533, LastFrame: 48619, CarlaTime: 3906.369323398918, PlatformTimestamp: 2023-12-16 13:17:27.862445, FrameCount: 65 
CurentGameTime: 6.328999370336533, LastFrame: 48619, CarlaTime: 3906.369323398918, PlatformTimestamp: 2023-12-16 13:17:27.862445, FrameCount: 66 
CurentGameTime: 6.328999370336533, LastFrame: 48619, CarlaTime: 3906.369323398918, PlatformTimestamp: 2023-12-16 13:17:27.862445, FrameCount: 67 
CurentGameTime: 6.328999370336533, LastFrame: 48619, CarlaTime: 3906.369323398918, PlatformTimestamp: 2023-12-16 13:17:27.862445, FrameCount: 68 
CurentGameTime: 6.328999370336533, LastFrame: 48619, CarlaTime: 3906.369323398918, PlatformTimestamp: 2023-12-16 13:17:27.862445, FrameCount: 69 
CurentGameTime: 6.328999370336533, LastFrame: 48619, CarlaTime: 3906.369323398918, PlatformTimestamp: 2023-12-16 13:17:27.862445, FrameCount: 70 
CurentGameTime: 6.328999370336533, LastFrame: 48619, CarlaTime: 3906.369323398918, PlatformTimestamp: 2023-12-16 13:17:27.862445, FrameCount: 71 
CurentGameTime: 6.328999370336533, LastFrame: 48619, CarlaTime: 3906.369323398918, PlatformTimestamp: 2023-12-16 13:17:27.862445, FrameCount: 72 
CurentGameTime: 6.5183983743190765, LastFrame: 48620, CarlaTime: 3906.5587224029005, PlatformTimestamp: 2023-12-16 13:17:28.053452, FrameCount: 73 
CurentGameTime: 6.5183983743190765, LastFrame: 48620, CarlaTime: 3906.5587224029005, PlatformTimestamp: 2023-12-16 13:17:28.053452, FrameCount: 74 
CurentGameTime: 6.5183983743190765, LastFrame: 48620, CarlaTime: 3906.5587224029005, PlatformTimestamp: 2023-12-16 13:17:28.053452, FrameCount: 75 
CurentGameTime: 6.5183983743190765, LastFrame: 48620, CarlaTime: 3906.5587224029005, PlatformTimestamp: 2023-12-16 13:17:28.053452, FrameCount: 76 
CurentGameTime: 6.5183983743190765, LastFrame: 48620, CarlaTime: 3906.5587224029005, PlatformTimestamp: 2023-12-16 13:17:28.053452, FrameCount: 77 
CurentGameTime: 6.5183983743190765, LastFrame: 48620, CarlaTime: 3906.5587224029005, PlatformTimestamp: 2023-12-16 13:17:28.053452, FrameCount: 78 
CurentGameTime: 6.5183983743190765, LastFrame: 48620, CarlaTime: 3906.5587224029005, PlatformTimestamp: 2023-12-16 13:17:28.053452, FrameCount: 79 
CurentGameTime: 6.5183983743190765, LastFrame: 48620, CarlaTime: 3906.5587224029005, PlatformTimestamp: 2023-12-16 13:17:28.053452, FrameCount: 80 
