timestamp,can_id,dlc,payload_hex,label,attack_type,attack_id,recv_time_iso
1774016609.591509,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:29.592010Z
1774016609.643319,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:29.643566Z
1774016609.646232,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:29.646445Z
1774016609.649619,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:29.649918Z
1774016609.844202,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:29.844471Z
1774016609.893909,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:29.894246Z
1774016609.896717,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:29.896967Z
1774016609.901225,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:29.901571Z
1774016610.094677,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:30.094955Z
1774016610.151186,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:30.151435Z
1774016610.15462,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:30.154879Z
1774016610.158743,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:30.159010Z
1774016610.351899,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:30.352255Z
1774016610.40866,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:30.408951Z
1774016610.412371,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:30.412643Z
1774016610.416315,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:30.416639Z
1774016610.609327,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:30.609660Z
1774016610.664856,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:30.665139Z
1774016610.668385,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:30.668680Z
1774016610.674104,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:30.674360Z
1774016610.865484,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:30.865780Z
1774016610.917561,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:30.917877Z
1774016610.921271,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:30.921533Z
1774016610.925407,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:30.925676Z
1774016611.118165,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:31.118459Z
1774016611.175393,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:31.175648Z
1774016611.178468,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:31.178724Z
1774016611.193323,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:31.193540Z
1774016611.376113,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:31.376385Z
1774016611.427683,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:31.427965Z
1774016611.431437,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:31.431739Z
1774016611.435553,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:31.435837Z
1774016611.628411,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:31.628709Z
1774016611.698076,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:31.698374Z
1774016611.707195,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:31.707413Z
1774016611.710748,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:31.711019Z
1774016611.898699,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:31.898916Z
1774016611.944708,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:31.944971Z
1774016611.94827,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:31.948544Z
1774016611.95163,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:31.951984Z
1774016612.145397,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:32.145627Z
1774016612.195566,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:32.195803Z
1774016612.198901,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:32.199167Z
1774016612.20404,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:32.204604Z
1774016843.750005,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:27:23.750247Z
1774016843.800005,0xc4,8,0000000000000000,benign,,,2026-03-20T14:27:23.800273Z
1774016843.803813,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:27:23.804095Z
1774016843.806838,0xba,8,033264324100000c,benign,,,2026-03-20T14:27:23.807118Z
1774016612.643516,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:32.643829Z
1774016612.691054,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:32.691283Z
1774016612.693963,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:32.694283Z
1774016612.696633,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:32.696852Z
1774016612.893052,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:32.893346Z
1774016612.948684,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:32.948962Z
1774016612.952329,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:32.952684Z
1774016612.956229,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:32.956508Z
1774016613.150757,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:33.151034Z
1774016613.206502,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:33.206778Z
1774016613.213479,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:33.213757Z
1774016613.218534,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:33.218779Z
1774016613.408591,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:33.408996Z
1774016613.469337,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:33.469705Z
1774016613.472625,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:33.472884Z
1774016613.477704,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:33.477989Z
1774016613.670929,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:33.671181Z
1774016613.722815,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:33.723113Z
1774016613.725631,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:33.725894Z
1774016613.730391,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:33.730660Z
1774016613.923903,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:33.924245Z
1774016613.97227,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:33.972630Z
1774016613.975274,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:33.975549Z
1774016613.979016,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:33.979239Z
1774016614.173867,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:34.174375Z
1774016614.228143,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:34.228427Z
1774016614.231155,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:34.231442Z
1774016614.235072,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:34.235327Z
1774016614.429081,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:34.429336Z
1774016614.481094,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:34.481392Z
1774016614.484293,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:34.484637Z
1774016614.489427,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:34.489716Z
1774016614.683089,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:34.683438Z
1774016614.737925,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:34.738328Z
1774016614.740934,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:34.741260Z
1774016614.744643,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:34.744890Z
1774016614.939402,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:34.939704Z
1774016614.993824,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:34.994185Z
1774016614.996593,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:34.996832Z
1774016614.999938,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:35.000223Z
1774016615.195171,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:35.195451Z
1774016615.247319,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:35.247624Z
1774016615.250173,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:35.250454Z
1774016615.253951,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:35.254231Z
1774016615.449358,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:35.449696Z
1774016615.508663,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:35.508943Z
1774016615.511943,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:35.512243Z
