kind,params,precision,recall,f1,fpr,auc,TP,FP,TN,FN,fps,train_sec
lstm,1952,0.9070824524312896,0.9772235508484227,0.9408475412532208,0.054579323191555416,0.9893329141505001,8581,879,15226,200,2567.5713703468687,21.773103952407837
gru,1536,0.8945503803271856,0.9776790798314543,0.9342692349548373,0.06283762806581807,0.9842927709240418,8585,1012,15093,196,2576.8555415247224,21.18076491355896
transformer,2272,0.9044142051111849,0.9309873590707208,0.9175084175084175,0.053647935423781434,0.9851181679447394,8175,864,15241,606,1874.0475351625955,19.782532215118408
tcn,2272,0.8876474887751905,0.9681129711877918,0.9261357446344918,0.0668115492083204,0.9859897967023366,8501,1076,15029,280,1860.0349487163862,172.4742579460144
