timestamp,type,detail
1781098093.917648,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.971565,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4615737795829773, IDS2=0.22193576395511627)"
1781098093.971565,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.060126,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.5420708060264587, IDS2=0.2482561469078064)"
1781098117.060126,Signal Logic,"[SignalLogic]Speed jump: prev=2321, curr=3172, Δ=851"
1781098117.060126,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.103223,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.6235532760620117, IDS2=0.24649421870708466)"
1781098117.103223,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.167024,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.5192710757255554, IDS2=0.24845276772975922)"
1781098117.167024,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.229052,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.48395079374313354, IDS2=0.2503933608531952)"
1781098117.229052,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.319264,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4664105474948883, IDS2=0.2513967752456665)"
1781098117.319264,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.397898,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.46367350220680237, IDS2=0.2518042325973511)"
1781098117.397898,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.451025,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4608154296875, IDS2=0.2519250214099884)"
1781098117.451025,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.504207,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4523983895778656, IDS2=0.2519458830356598)"
1781098117.504207,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.586908,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.44610387086868286, IDS2=0.2519407868385315)"
1781098117.586908,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.663263,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4513035714626312, IDS2=0.251933753490448)"
1781098117.663263,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.729070,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4524056017398834, IDS2=0.2519294321537018)"
1781098117.729070,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.836074,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4469176232814789, IDS2=0.2519274950027466)"
1781098117.836074,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.920211,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4570960998535156, IDS2=0.2519267499446869)"
1781098117.920211,FSA,[FSA] Rule violation: Conflict->Conflict
1781098117.978025,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4579690396785736, IDS2=0.2519265413284302)"
1781098117.978025,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.028723,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4526139199733734, IDS2=0.2519265413284302)"
1781098118.028723,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.074519,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4490284025669098, IDS2=0.2519265413284302)"
1781098118.074519,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.119998,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4458169937133789, IDS2=0.2519265413284302)"
1781098118.119998,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.174586,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.44319668412208557, IDS2=0.2519265413284302)"
1781098118.174586,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.247515,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4426911473274231, IDS2=0.2519265413284302)"
1781098118.247515,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.323366,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4468536376953125, IDS2=0.2519265413284302)"
1781098118.323366,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.375621,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4516511857509613, IDS2=0.2519265413284302)"
1781098118.375621,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.405307,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4500347077846527, IDS2=0.2519265413284302)"
1781098118.405307,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.455410,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.441195547580719, IDS2=0.2519265413284302)"
1781098118.455410,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.527062,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.44121313095092773, IDS2=0.2519265413284302)"
1781098118.527062,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.619575,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.44448041915893555, IDS2=0.2519265413284302)"
1781098118.619575,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.696030,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.45245522260665894, IDS2=0.2519265413284302)"
1781098118.696030,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.712037,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.45874708890914917, IDS2=0.2519265413284302)"
1781098118.712037,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.752955,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4417232573032379, IDS2=0.2519265413284302)"
