time,entropy
1762478275.777043,2.804157838915985
1762478276.777043,2.5
1762478296.777043,2.807354922057605
1762478297.777043,2.805406631330608
1762478298.777043,2.807354922057605
1762478299.777043,2.8050988365540785
1762478300.777043,2.805406631330608
1762478301.777043,2.7962176025900565
1762478302.777043,2.7997155589410774
1762478303.777043,2.8016067973079357
1762478304.777043,2.80310746565151
1762478305.777043,2.807354922057605
1762478306.777043,2.807354922057605
1762478307.777043,2.8032301553919323
1762478308.777043,1.584962500721156
1762478321.777043,2.804157838915985
1762478322.777043,2.807354922057605
1762478325.777043,2.804157838915985
1762478326.777043,2.7894628966680193
1762478327.777043,2.804832522370756
1762478328.777043,2.8027241956246547
1762478329.777043,2.80401497336551
1762478330.777043,2.8046668704620243
1762478331.777043,2.807354922057605
1762478332.777043,2.8042515231818843
1762478333.777043,2.8014041736875845
1762478334.777043,2.8032301553919323
1762478335.777043,2.80310746565151
1762478336.777043,2.8034086398791374
1762478337.777043,2.805406631330608
1762478338.777043,2.8014041736875845
1762478339.777043,2.80401497336551
1762478340.777043,2.807354922057605
1762478341.777043,2.8034086398791374
1762478342.777043,2.8046668704620243
1762478343.777043,2.8050988365540785
1762478344.777043,2.807354922057605
1762478345.777043,2.805406631330608
1762478346.777043,2.7995812306460652
1762478347.777043,2.80310746565151
1762478348.777043,2.807354922057605
1762478349.777043,2.807354922057605
1762478350.777043,2.805406631330608
1762478351.777043,2.802476151181475
1762478352.777043,2.807354922057605
1762478353.777043,2.8050988365540785
1762478354.777043,2.807354922057605
1762478355.777043,2.8037078929454538
1762478356.777043,2.787501743690737
1762478357.777043,2.805678055246337
1762478358.777043,2.807354922057605
1762478359.777043,2.807354922057605
1762478360.777043,2.807354922057605
1762478361.777043,2.807354922057605
1762478362.777043,2.75
1762478367.777043,2.75
1762478372.777043,2.721928094887362
1762478377.777043,2.807354922057605
1762478382.777043,2.7773627950641693
1762478387.777043,2.793269689515109
1762478388.777043,2.807354922057605
1762478389.777043,2.8014041736875845
1762478390.777043,2.805406631330608
1762478391.777043,2.804157838915985
1762478392.777043,2.807354922057605
1762478417.777043,2.7942385860214762
1762478418.777043,2.801002779861118
1762478419.777043,2.807354922057605
