time,entropy
1762478275.777043,0.0
1762478275.877043,2.807354922057605
1762478276.077043,2.807354922057605
1762478276.1770432,1.0
1762478276.277043,2.3219280948873626
1762478276.377043,2.0
1762478276.4770432,1.584962500721156
1762478276.577043,2.584962500721156
1762478276.6770432,0.0
1762478276.877043,1.0
1762478277.277043,2.0
1762478277.377043,1.0
1762478297.377043,2.0
1762478297.4770432,1.584962500721156
1762478297.577043,2.584962500721156
1762478297.6770432,0.0
1762478297.777043,2.584962500721156
1762478297.877043,0.0
1762478297.9770432,2.807354922057605
1762478298.077043,2.584962500721156
1762478298.1770432,0.0
1762478298.277043,2.807354922057605
1762478298.377043,1.0
1762478298.4770432,2.3219280948873626
1762478298.577043,2.807354922057605
1762478298.6770432,2.584962500721156
1762478298.777043,0.0
1762478298.877043,2.584962500721156
1762478298.9770432,0.0
1762478299.077043,2.807354922057605
1762478299.1770432,2.584962500721156
1762478299.277043,0.0
1762478299.377043,2.0
1762478299.4770432,1.584962500721156
1762478299.577043,0.0
1762478299.6770432,2.3219280948873626
1762478299.777043,0.0
1762478299.877043,2.584962500721156
1762478299.9770432,0.0
1762478300.077043,2.807354922057605
1762478300.1770432,2.584962500721156
1762478300.277043,0.0
1762478300.377043,2.584962500721156
1762478300.4770432,0.0
1762478300.577043,2.807354922057605
1762478300.6770432,2.807354922057605
1762478300.777043,2.584962500721156
1762478300.877043,0.0
1762478300.9770432,2.807354922057605
1762478301.077043,2.584962500721156
1762478301.1770432,0.0
1762478301.277043,2.807354922057605
1762478301.377043,2.584962500721156
1762478301.4770432,0.0
1762478301.577043,2.807354922057605
1762478301.6770432,2.584962500721156
1762478301.777043,0.0
1762478301.877043,2.584962500721156
1762478301.9770432,0.0
1762478302.277043,0.0
1762478302.377043,2.584962500721156
1762478302.577043,2.807354922057605
1762478302.6770432,2.0
1762478302.777043,1.584962500721156
1762478302.877043,2.807354922057605
1762478302.9770432,2.721928094887362
1762478303.077043,1.0
1762478303.1770432,2.807354922057605
1762478303.277043,1.0
1762478303.377043,2.3219280948873626
1762478303.4770432,2.807354922057605
1762478303.6770432,2.807354922057605
1762478303.777043,2.584962500721156
1762478303.877043,0.0
1762478303.9770432,2.584962500721156
1762478304.077043,0.0
1762478304.1770432,2.584962500721156
1762478304.277043,0.0
1762478304.377043,2.584962500721156
1762478304.4770432,0.0
1762478304.577043,2.807354922057605
1762478304.6770432,2.0
1762478304.777043,1.584962500721156
1762478304.877043,2.807354922057605
1762478304.9770432,2.584962500721156
1762478305.077043,0.0
1762478305.1770432,2.807354922057605
1762478305.277043,2.584962500721156
1762478305.377043,0.0
1762478305.4770432,2.807354922057605
1762478305.6770432,2.807354922057605
1762478305.777043,1.0
1762478305.877043,2.3219280948873626
1762478305.9770432,2.584962500721156
1762478306.077043,0.0
1762478306.1770432,2.584962500721156
1762478306.277043,0.0
1762478306.377043,2.807354922057605
1762478306.4770432,2.584962500721156
1762478306.577043,0.0
1762478306.6770432,2.807354922057605
1762478306.777043,2.584962500721156
1762478306.877043,0.0
1762478306.9770432,2.807354922057605
1762478307.277043,2.584962500721156
1762478307.377043,0.0
1762478307.4770432,2.584962500721156
1762478307.577043,0.0
1762478307.6770432,2.807354922057605
1762478307.777043,2.584962500721156
1762478307.877043,0.0
1762478307.9770432,2.807354922057605
1762478308.077043,2.584962500721156
1762478308.1770432,0.0
1762478308.277043,2.807354922057605
1762478308.377043,2.0
1762478308.4770432,1.584962500721156
1762478308.577043,2.807354922057605
1762478308.6770432,2.0
1762478308.777043,1.584962500721156
1762478321.9770432,0.0
1762478322.077043,2.584962500721156
1762478322.1770432,0.0
1762478322.277043,2.807354922057605
1762478322.377043,2.584962500721156
1762478322.4770432,2.0
1762478322.577043,2.0
1762478322.6770432,2.807354922057605
1762478322.777043,2.584962500721156
1762478322.877043,0.0
1762478322.9770432,2.807354922057605
1762478323.077043,2.584962500721156
1762478323.1770432,0.0
1762478323.277043,2.807354922057605
1762478325.877043,0.0
1762478325.9770432,2.584962500721156
1762478326.077043,0.0
1762478326.1770432,2.807354922057605
1762478326.277043,2.0
1762478326.377043,1.584962500721156
1762478326.4770432,2.584962500721156
1762478326.577043,0.0
1762478326.6770432,2.807354922057605
1762478326.777043,2.0
1762478326.877043,1.584962500721156
1762478326.9770432,2.3219280948873626
1762478327.077043,0.0
1762478327.377043,2.807354922057605
1762478327.577043,2.807354922057605
1762478327.6770432,2.584962500721156
1762478327.777043,2.3219280948873626
1762478327.877043,1.584962500721156
1762478327.9770432,2.807354922057605
1762478328.077043,2.5219280948873624
1762478328.1770432,2.521640636343319
1762478328.277043,2.0
1762478328.377043,2.584962500721156
1762478328.4770432,0.0
1762478328.577043,2.807354922057605
1762478328.6770432,2.0
1762478328.777043,1.584962500721156
1762478328.877043,2.807354922057605
1762478328.9770432,2.0
1762478329.077043,1.584962500721156
1762478329.1770432,2.584962500721156
1762478329.277043,0.0
1762478329.377043,2.807354922057605
1762478329.577043,2.807354922057605
1762478329.6770432,1.0
1762478329.777043,2.3219280948873626
1762478329.877043,2.807354922057605
1762478329.9770432,2.3219280948873626
1762478330.077043,1.0
1762478330.1770432,2.807354922057605
1762478330.277043,2.584962500721156
1762478330.377043,0.0
1762478330.4770432,2.807354922057605
1762478330.577043,1.584962500721156
1762478330.6770432,2.0
1762478330.777043,2.584962500721156
1762478330.877043,0.0
1762478330.9770432,2.807354922057605
1762478331.077043,1.584962500721156
1762478331.1770432,2.0
1762478331.277043,2.584962500721156
1762478331.377043,0.0
1762478331.4770432,2.584962500721156
1762478331.577043,0.0
1762478331.6770432,2.584962500721156
1762478331.777043,0.0
1762478331.877043,2.807354922057605
1762478332.077043,2.584962500721156
1762478332.377043,2.584962500721156
1762478332.4770432,0.0
1762478332.577043,2.584962500721156
1762478332.6770432,0.0
1762478332.777043,2.807354922057605
1762478332.877043,2.584962500721156
1762478332.9770432,0.0
1762478333.077043,2.584962500721156
1762478333.1770432,0.0
1762478333.277043,2.807354922057605
1762478333.377043,2.584962500721156
1762478333.4770432,0.0
1762478333.577043,2.807354922057605
1762478333.6770432,2.0
1762478333.777043,1.584962500721156
1762478333.877043,2.807354922057605
1762478334.077043,2.584962500721156
1762478334.1770432,0.0
1762478334.277043,2.807354922057605
1762478334.377043,1.584962500721156
1762478334.4770432,2.0
1762478334.577043,2.3219280948873626
1762478334.6770432,1.0
1762478334.777043,2.584962500721156
1762478334.877043,0.0
1762478334.9770432,2.807354922057605
1762478335.077043,2.584962500721156
1762478335.1770432,0.0
1762478335.277043,2.807354922057605
1762478335.377043,2.584962500721156
1762478335.4770432,0.0
1762478335.577043,2.807354922057605
1762478335.6770432,2.0
1762478335.777043,1.584962500721156
1762478335.877043,2.807354922057605
1762478335.9770432,2.584962500721156
1762478336.077043,0.0
1762478336.1770432,2.807354922057605
1762478336.277043,2.0
1762478336.377043,1.584962500721156
1762478336.4770432,2.807354922057605
1762478336.6770432,2.807354922057605
1762478336.877043,2.807354922057605
1762478336.9770432,0.0
1762478337.077043,2.3219280948873626
1762478337.377043,2.807354922057605
1762478337.4770432,2.0
1762478337.577043,1.584962500721156
1762478337.6770432,2.807354922057605
1762478337.777043,2.0
1762478337.877043,1.584962500721156
1762478337.9770432,2.807354922057605
1762478338.077043,2.584962500721156
1762478338.1770432,0.0
1762478338.277043,2.807354922057605
1762478338.377043,2.584962500721156
1762478338.4770432,0.0
1762478338.577043,2.807354922057605
1762478338.6770432,2.584962500721156
1762478338.777043,0.0
1762478338.877043,2.0
1762478338.9770432,1.584962500721156
1762478339.077043,2.584962500721156
1762478339.1770432,0.0
1762478339.277043,2.807354922057605
1762478339.377043,2.0
1762478339.4770432,1.584962500721156
1762478339.577043,2.807354922057605
1762478339.6770432,1.0
1762478339.777043,2.3219280948873626
1762478339.877043,2.807354922057605
1762478339.9770432,2.0
1762478340.077043,1.584962500721156
1762478340.1770432,2.807354922057605
1762478340.277043,2.584962500721156
1762478340.377043,0.0
1762478340.4770432,2.807354922057605
1762478340.577043,2.3219280948873626
1762478340.6770432,1.0
1762478340.777043,2.807354922057605
1762478340.877043,2.0
1762478340.9770432,1.584962500721156
1762478341.077043,2.3219280948873626
1762478341.1770432,1.0
1762478341.277043,2.584962500721156
1762478341.377043,0.0
1762478341.4770432,2.807354922057605
1762478341.577043,2.0
1762478341.6770432,1.584962500721156
1762478341.777043,2.807354922057605
1762478341.877043,2.0
1762478341.9770432,1.584962500721156
1762478342.077043,2.584962500721156
1762478342.377043,2.0
1762478342.4770432,1.584962500721156
1762478342.577043,2.584962500721156
1762478342.6770432,0.0
1762478342.777043,2.584962500721156
1762478342.877043,0.0
1762478342.9770432,2.807354922057605
1762478343.077043,2.0
